Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
11,A program P reads in 500 integers in the range [0..100] representing the scores of 500 students. It then prints the frequency of each score above 50. What would be the best way for P to store the frequencies?&nbsp;,An array of 50 numbers&nbsp;,An array of 100 numbers&nbsp;,An array of 500 numbers&nbsp;,A dynamically allocated array of 550 numbers&nbsp;,A,An array of 50 numbers is correct.,Array,Easy,Low,0.25
12,"What will the output of the below code, be if the base address of the array is 1200?
        C++
        
        #include &lt;iostream&gt;
using namespace std;

int main()
{

    int arr[] = { 1, 2, 3, 4, 5 };
    cout &lt;&lt; arr &lt;&lt; &quot;, &quot; &lt;&lt; &amp;arr &lt;&lt; &quot;, &quot; &lt;&lt; &amp;arr[0] &lt;&lt; endl;
    return 0;
}","1200, 1202, 1204",1200 1200 1200,"1200, 1204, 1208","1200, 1204, 1208",B,"Given that, the base address of the array is 1200.arr, &amp;arr is pointing to the base address of the array arr.&amp;arr[0] is pointing to the address of the first element array arr (base address).Hence the correct option is (B)",Array,Medium,Medium,0.25
13,"What is the correct way to call the function (fun) in the below program?
        C++
        
        #include &lt;bits/stdc++.h&gt;
#include &lt;iostream&gt;
using namespace std;

void fun(char* arr)
{
    int i;
    unsigned int n = strlen(arr);
    for (i = 0; i &lt; n; i++)
        cout &lt;&lt; &quot; &quot; &lt;&lt; arr[i];
}

// Driver program
int main()
{
    char arr[]
        = { &#39;g&#39;, &#39;e&#39;, &#39;e&#39;, &#39;k&#39;, &#39;s&#39;, &#39;q&#39;, &#39;u&#39;, &#39;i&#39;, &#39;z&#39; };
    // How to call the above function here to print the char
    // elements?

    return 0;
}",fun(&amp;arr);,fun(*arr);,fun(arr),None,C,fun(arr) is the correct syntax to call the function having array (arr) as a Parameter.Hence option(C) is correct.&nbsp;,Array,Easy,Low,0.25
14,"Let A be a matrix of size n x n. Consider the following program. What is the expected output?&nbsp;
        C++
        
        void fun(int A[][N])
{
    for (int i = 0; i &lt; N; i++)
        for (int j = i + 1; j &lt; N; j++)
            swap(A[i][j], A[j][i]);
}",Matrix A,Diagonal Of matrix A,Transpose of matrix A,None,C,"In the above program, we are just swapping(arr[i][j]) to arr[j][i]). That means row will become column and column will become row.That means the Transpose of the graph.Hence (C) is the correct output.",Array,Medium,Medium,0.25
15,"What will do the following code?
        C++
        
        void fun(int arr[], int n)
{
    for (int i = 0; i &lt; n; i++) {
        for (int j = i; j &lt; n; j++) {
            for (int k = i; k &lt;= j; k++)
                cout &lt;&lt; arr[k] &lt;&lt; &quot; &quot;;

            cout &lt;&lt; endl;
        }
    }
}",Prints the subsequence of the article.,Prints the elements of the array,Prints the subarray of the element.,None,C,The above code will print subarray of the elements.Hence the correct option is(C).,Array,Medium,Medium,0.25
16,Which of the following is the limitation of the array?,elements can be accessed from anywhere.,The size of the array is fixed.,Indexing is started from Zero.,Memory waste if an array's elements are smaller than the size allotted to them,D,"Suppose we have an arry like : arr[5] ={1, 2, 3}Here we have declared the size of the array as 5, but we have initialized only &nbsp;3 values to it. So it leads to memory wastage.Hence Option (D) is correct.",Array,Easy,Low,0.25
17,"Consider the below program, and what is doing this program basically?
        C++
        
        #include &lt;bits/stdc++.h&gt;
using namespace std;

void print(char a[], int n, int ind)
{
    for (int i = ind; i &lt; n + ind; i++)
        cout &lt;&lt; a[(i % n)] &lt;&lt; &quot; &quot;;
}

int main()
{
    char a[] = { &#39;A&#39;, &#39;B&#39;, &#39;C&#39;, &#39;D&#39;, &#39;E&#39;, &#39;F&#39; };
    int n = sizeof(a) / sizeof(a[0]);
    print(a, n, 3);
    return 0;
}",It is printing the normal array,It is printing circular array rotated by 3,Syntax error,None,B,"In the above program, we are just shifting the array elements by 3 circularly.we are running loop from i = 3 to 9.Inside the loop we are printing arr[3%6] = arr[3] = 'D'arr[4 % 6] = arr[4] &nbsp;= 'E'arr[5 % 6] = arr[5] = 'F'arr[6 % 6] = arr[0] = 'A'arr[7 % 6] = arr[1] = 'B'arr[8 % 6] = arr[2] = 'C'Hence Option (B) is correct.",Array,Medium,High,0.25
18,"Fill in the blanks for completing the program to rotate an array by d elements.
        C++
        
        /*Function to left rotate arr[] of size n by d*/
void Rotate(int arr[], int d, int n)
{
    int p = 1;
    while (_______) {
        int last = arr[0];
        for (int i = 0; ______ i++) {
            arr[i] = arr[i + 1];
        }
        __________
        p++;
    }
}","p &lt;= d , i &lt; n - 1 , arr[n - 1] = last;","p &lt; d, i &lt; n, arr[n] = last;","p &gt;=d, i &gt;n , arr[n] = &nbsp;last",None,A,"In the three blanks given in the questions.The first blank will be a conditional statement which should be (p.&lt;=d) because p starts with 1 and goes till d.The second blank should be the condition for looping, which is (i &lt; n-1), because the loop will run till n-1 elements.and the last blank will be updating the last element.Hence Option(A) is correct.",Array,Hard,High,0.25
19,Refer the below diagram and identify the problem.&nbsp;,Normal traversal of the matrix.,Row-wise traversal of the matrix.,Column-wise traversal of the matrix.,spiral traversal of the matrix.,D,The image is for the spiral traversal of the matrix.Refer the below article:https://www.geeksforgeeks.org/print-a-given-matrix-in-spiral-form/Hence Option (D) is correct.,Array,Medium,Medium,0.25
20,"Consider the below program. What is the expected output?&nbsp;
        C++
        
        void fun(int arr[], int start, int end)
{
    while (start &lt; end) {
        int temp = arr[start];
        arr[start] = arr[end];
        arr[end] = temp;
        start++;
        end--;
    }
}",swapping the elements pairwise,sorting the elements,Reverse an array,None,C,"The above code is for reversing an array of elements., we are just swapping the first and last element of the array, and the whole array is reversed.For more reference:https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/Hence Option(C) is correct.&nbsp;",Array,Medium,Medium,0.25
21,"What does the following function do for a given Linked List with first node as head?
        C++
        
        void fun1(struct node* head)
{
  if(head == NULL)
    return;
  
  fun1(head-&gt;next);
  printf(&quot;%d  &quot;, head-&gt;data);
}

        
    
        C
        
        void fun1(struct node* head) {
  if(head == NULL)
    return;
  
  fun1(head-&gt;next);
  printf(&quot;%d  &quot;, head-&gt;data);
}

        
    
        Java
        
        void fun1(Node head) {
  if(head == null)
    return;
  
  fun1(head.next);
  System.out.print(head.data + &quot;  &quot;);
}

        
    
        Python
        
        def fun1(head):
  if head is None:
    return
  
  fun1(head.next)
  print(head.data, end=&#39;  &#39;)

        
    
        JavaScript
        
        function fun1(head) {
  if (head === null)
    return;
  
  fun1(head.next);
  console.log(head.data + &#39;  &#39;);
}",Prints all nodes of linked lists,Prints all nodes of linked list in reverse order,Prints alternate nodes of Linked List,Prints alternate nodes in reverse order,B,"This function fun1 recursively prints the elements of a linked list in reverse order.It first checks if the head is NULL, and if it is, it returns without doing anything. Otherwise, it calls the fun1 function recursively with the next node in the linked list (head-&gt;next). This continues until the last node is reached, which is the node whose next pointer is NULL.At this point, the function starts returning, and as it returns it prints the value of each node in the linked list starting from the last node, working its way backwards to the first node. This is achieved through the printf statement which prints the value of head-&gt;data.Thus, when this function is called with the head of a linked list as an argument, it will print the values of the nodes in reverse order.",Linked List,Medium,High,0.25
22,Which of the following points is/are true about Linked List data structure when it is compared with array?,Arrays have better cache locality that can make them better in terms of performance.,It is easy to insert and delete elements in Linked List,Random access is not allowed in a typical implementation of Linked Lists,"The size of array has to be pre-decided, linked lists can change their size any time.",E,"The following points are true when comparing Linked List data structure with an array:Insertion and deletion: Linked lists allow for efficient insertion and deletion operations at any point in the list, as they involve simply adjusting pointers, while in an array, these operations can be expensive as all the elements after the insertion or deletion point need to be shifted.Memory allocation: Linked lists use dynamic memory allocation, so they can grow or shrink as needed, while arrays have a fixed size and need to be allocated a contiguous block of memory upfront.Access time: Arrays provide constant-time access to any element in the array (assuming the index is known), while accessing an element in a linked list takes linear time proportional to the number of elements in the list, as the list needs to be traversed from the beginning to find the desired element.Random access: Arrays support random access, which means that we can directly access any element in the array with its index, while linked lists do not support random access and we need to traverse the list to find a specific element.",Linked List,Easy,Medium,0.25
23,"Consider the following function that takes reference to head of a Doubly Linked List as parameter. Assume that a node of doubly linked list has previous pointer as prev and next pointer as next.&nbsp;
        C++
        
        void fun(struct node **head_ref) {
    struct node *temp = NULL;
    struct node *current = *head_ref;

    while (current != NULL) {
        temp = current-&gt;prev;
        current-&gt;prev = current-&gt;next;
        current-&gt;next = temp;
        current = current-&gt;prev;
    }

    if (temp != NULL)
        *head_ref = temp-&gt;prev;
}

        
    
        C
        
        void fun(struct node **head_ref)
{
    struct node *temp = NULL;
    struct node *current = *head_ref;

    while (current !=  NULL)
    {
        temp = current-&gt;prev;
        current-&gt;prev = current-&gt;next;
        current-&gt;next = temp;
        current = current-&gt;prev;
    }

    if(temp != NULL )
        *head_ref = temp-&gt;prev;
}

        
    
        Java
        
        void fun(Node[] head_ref) {
    Node temp = null;
    Node current = head_ref[0];

    while (current != null) {
        temp = current.prev;
        current.prev = current.next;
        current.next = temp;
        current = current.prev;
    }

    if (temp != null)
        head_ref[0] = temp.prev;
}

        
    
        Python
        
        def fun(head_ref):
    temp = None
    current = head_ref[0]

    while current is not None:
        temp = current.prev
        current.prev = current.next
        current.next = temp
        current = current.prev

    if temp is not None:
        head_ref[0] = temp.prev

        
    
        JavaScript
        
        function fun(head_ref) {
    let temp = null;
    let current = head_ref[0];

    while (current !== null) {
        temp = current.prev;
        current.prev = current.next;
        current.next = temp;
        current = current.prev;
    }

    if (temp !== null)
        head_ref[0] = temp.prev;
}

        
    Assume that reference of head of following doubly linked list is passed to above function 1 &lt;--&gt; 2 &lt;--&gt; 3 &lt;--&gt; 4 &lt;--&gt; 5 &lt;--&gt;6. What should be the modified linked list after the function call?",2 &lt;--&gt; 1 &lt;--&gt; 4 &lt;--&gt; 3 &lt;--&gt; 6 &lt;--&gt;5,5 &lt;--&gt; 4 &lt;--&gt; 3 &lt;--&gt; 2 &lt;--&gt; 1 &lt;--&gt;6.,6 &lt;--&gt; 5 &lt;--&gt; 4 &lt;--&gt; 3 &lt;--&gt; 2 &lt;--&gt; 1.,6 &lt;--&gt; 5 &lt;--&gt; 4 &lt;--&gt; 3 &lt;--&gt; 1 &lt;--&gt; 2,C,"This function fun takes a double pointer to the head of a doubly linked list as its argument and reverses the order of the nodes in the list. By performing the following steps: Recursively traverse the&nbsp;doubly linked list until it reaches the last node.While&nbsp;backtracking, reverse the links between the nodes. To reverse the links:Change the&nbsp;next&nbsp;pointer of the&nbsp;current&nbsp;node&nbsp;to point to its&nbsp;previous&nbsp;node.Change the&nbsp;prev&nbsp;pointer of the&nbsp;current&nbsp;node&nbsp;to point to its&nbsp;next&nbsp;node.Adjust the&nbsp;head&nbsp;of the doubly linked list to point to the&nbsp;last&nbsp;node.For more reference: Reverse a Double linked ListHence Option(C) is correct answer.",Linked List,Hard,High,0.25
24,"The following function reverse() is supposed to reverse a singly linked list. There is one line missing at the end of the function.&nbsp;
        C++
        
        // Link list node
struct node
{
    int data;
    struct node* next;
};

// head_ref is a double pointer which points to head (or start) pointer 
of linked list
static void reverse(struct node** head_ref)
{
    struct node* prev   = NULL;
    struct node* current = *head_ref;
    struct node* next;
    while (current != NULL)
    {
        next  = current-&gt;next;  
        current-&gt;next = prev;   
        prev = current;
        current = next;
    }
     // MISSING STATEMENT HERE
}

        
    
        C
        
        /* Link list node */
struct node
{
    int data;
    struct node* next;
};

/* head_ref is a double pointer which points to head (or start) pointer 
  of linked list */
static void reverse(struct node** head_ref)
{
    struct node* prev   = NULL;
    struct node* current = *head_ref;
    struct node* next;
    while (current != NULL)
    {
        next  = current-&gt;next;  
        current-&gt;next = prev;   
        prev = current;
        current = next;
    }
    /*MISSING STATEMENT HERE*/
}
 

        
    
        Java
        
        // Link list node
class Node {
    int data;
    Node next;
    Node(int d) { data = d; next = null; }
}

// head_ref is a reference to the head pointer of linked list
static void reverse(Node[] head_ref) {
    Node prev = null;
    Node current = head_ref[0];
    Node next;
    while (current != null) {
        next = current.next;
        current.next = prev;
        prev = current;
        current = next;
    }
    // MISSING STATEMENT HERE
}

        
    
        Python
        
        # Link list node
class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

# head_ref is a reference to the head pointer of linked list
def reverse(head_ref):
    prev = None
    current = head_ref
    while current is not None:
        next_node = current.next
        current.next = prev
        prev = current
        current = next_node
     # MISSING STATEMENT HERE

        
    
        JavaScript
        
        // Link list node
class Node {
    constructor(data) {
        this.data = data;
        this.next = null;
    }
}

// head_ref is a reference to the head pointer of linked list
function reverse(head_ref) {
    let prev = null;
    let current = head_ref;
    let next;
    while (current !== null) {
        next = current.next;
        current.next = prev;
        prev = current;
        current = next;
    }
    // MISSING STATEMENT HERE
}

        
    What should be added in place of ""/*ADD A STATEMENT HERE*/"", so that the function correctly reverses a linked list.",Set the value of head_ref to prev;,Set the value of head_ref to current;,Set the value of head_ref to next;,Set the value of head_ref to NULL;,A,"The missing statement should sets the value of *head_ref (which is a double pointer) to the value of prev, which is the new head of the reversed list.Hence correct option is (A).",Linked List,Medium,High,0.25
25,"What is the output of following function in which start is pointing to the first node of the following linked list 1-&gt;2-&gt;3-&gt;4-&gt;5-&gt;6 ?
        C++
        
        #include &lt;iostream&gt;
using namespace std;

struct node {
    int data;
    node* next;
};

void fun(node* start) {
    if (start == NULL)
        return;
    cout &lt;&lt; start-&gt;data &lt;&lt; &quot;  &quot;;
    
    if (start-&gt;next != NULL)
        fun(start-&gt;next-&gt;next);
    cout &lt;&lt; start-&gt;data &lt;&lt; &quot;  &quot;;
}

        
    
        C
        
        void fun(struct node* start)
{
  if(start == NULL)
    return;
  printf(&quot;%d  &quot;, start-&gt;data); 
 
  if(start-&gt;next != NULL )
    fun(start-&gt;next-&gt;next);
  printf(&quot;%d  &quot;, start-&gt;data);
}

        
    
        Java
        
        class Node {
    int data;
    Node next;
    Node(int d) { data = d; next = null; }
}

void fun(Node start) {
    if (start == null)
        return;
    System.out.print(start.data + &quot;  &quot;);
    
    if (start.next != null)
        fun(start.next.next);
    System.out.print(start.data + &quot;  &quot;);
}

        
    
        Python
        
        class Node:
    def __init__(self, data):
        self.data = data
        self.next = None


def fun(start):
    if start is None:
        return
    print(start.data, end=&#39;  &#39;)
    
    if start.next is not None:
        fun(start.next.next)
    print(start.data, end=&#39;  &#39;)

        
    
        JavaScript
        
        class Node {
    constructor(data) {
        this.data = data;
        this.next = null;
    }
}

function fun(start) {
    if (start === null)
        return;
    console.log(start.data + &#39;  &#39;);
    
    if (start.next !== null)
        fun(start.next.next);
    console.log(start.data + &#39;  &#39;);
}",1 4 6 6 4 1,1 3 5 1 3 5,1 2 3 5,1 3 5 5 3 1,D,"The function prints the data of the current node and then recursively calls itself with the second next node (i.e., start-&gt;next-&gt;next).So, it prints the data of every alternate node of the linked list i.e 1 3 5, and then, since the next-&gt;next of 5 is null, it returns and prints the data of the current node, so it then prints 5 3 1.Therefore, for the given linked list 1-&gt;2-&gt;3-&gt;4-&gt;5-&gt;6, the function would print 1 3 5 5 3 1.",Linked List,Hard,High,0.25
26,"The following C function takes a simply-linked list as input argument. It modifies the list by moving the last element to the front of the list and returns the modified list. Some part of the code is left blank. Choose the correct alternative that contain the correct pseudocode for the blank line.&nbsp;
        C++
        
        #include &lt;iostream&gt;
struct Node {
    int value;
    Node *next;
};

Node* move_to_front(Node *head) {
    Node *p, *q;
    if (head == NULL || head-&gt;next == NULL)
        return head;
    q = NULL; p = head;
    while (p-&gt;next != NULL) {
        q = p;
        p = p-&gt;next;
    }
    __________________________________
    return head;
}

        
    
        C
        
        typedef struct node 
{
  int value;
  struct node *next;
}Node;
 
Node *move_to_front(Node *head) 
{
  Node *p, *q;
  if ((head == NULL: || (head-&gt;next == NULL)) 
    return head;
  q = NULL; p = head;
  while (p-&gt; next !=NULL) 
  {
    q = p;
    p = p-&gt;next;
  }
  _______________________________
  return head;
}

        
    
        Java
        
        class Node {
    int value;
    Node next;
    Node(int value) {
        this.value = value;
        this.next = null;
    }
}

Node moveToFront(Node head) {
    Node p, q;
    if (head == null || head.next == null)
        return head;
    q = null; p = head;
    while (p.next != null) {
        q = p;
        p = p.next;
    }
    _____________________________________
    return head;
}

        
    
        Python
        
        class Node:
    def __init__(self, value):
        self.value = value
        self.next = None


def move_to_front(head):
    if head is None or head.next is None:
        return head
    p = head
    q = None
    while p.next is not None:
        q = p
        p = p.next
    ______________________________
    return head

        
    
        JavaScript
        
        class Node {
    constructor(value) {
        this.value = value;
        this.next = null;
    }
}

function moveToFront(head) {
    if (head === null || head.next === null)
        return head;
    let p = head;
    let q = null;
    while (p.next !== null) {
        q = p;
        p = p.next;
    }
   _____________________________
    return head;
}",q = NULL; next of p = head; head = p;,next of q = NULL; head = p; next of p = head;,head = p; next of p = q; next of q = NULL;,next of q = NULL; next of p = head; head = p;,D,"To move the last element to the front of the list, we need to do the following steps:Make the second last node as the last node (i.e., set its next pointer to NULL).Set the next pointer of the current last node (which is now the second last node) to the original head node.Make the current last node as the new head node.",Linked List,Hard,High,0.25
27,"The following &nbsp;function takes a single-linked list of integers as a parameter and rearranges the elements of the list. The function is called with the list containing the integers 1, 2, 3, 4, 5, 6, 7 in the given order. What will be the contents of the list after the function completes execution?&nbsp;
        C++
        
        class Node {
public:
    int value;
    Node* next;
};

void rearrange(Node* list) {
    Node* p;
    Node* q;
    int temp;
    if (list == nullptr || list-&gt;next == nullptr) {
        return;
    }
    p = list;
    q = list-&gt;next;
    while (q != nullptr) {
        temp = p-&gt;value;
        p-&gt;value = q-&gt;value;
        q-&gt;value = temp;
        p = q-&gt;next;
        q = (p != nullptr) ? p-&gt;next : nullptr;
    }
}

        
    
        C
        
        struct Node {
    int value;
    struct Node* next;
};

void rearrange(struct Node* list) {
    struct Node* p;
    struct Node* q;
    int temp;
    if (list == NULL || list-&gt;next == NULL) {
        return;
    }
    p = list;
    q = list-&gt;next;
    while (q != NULL) {
        temp = p-&gt;value;
        p-&gt;value = q-&gt;value;
        q-&gt;value = temp;
        p = q-&gt;next;
        q = (p != NULL) ? p-&gt;next : NULL;
    }
}

        
    
        Java
        
        class Node {
    int value;
    Node next;
}

void rearrange(Node list) {
    Node p, q;
    int temp;
    if (list == null || list.next == null) {
        return;
    }
    p = list;
    q = list.next;
    while (q != null) {
        temp = p.value;
        p.value = q.value;
        q.value = temp;
        p = q.next;
        q = p != null ? p.next : null;
    }
}

        
    
        Python
        
        class Node:
    def __init__(self, value):
        self.value = value
        self.next = None


def rearrange(head):
    if head is None or head.next is None:
        return
    p = head
    q = head.next
    while q is not None:
        p.value, q.value = q.value, p.value
        p = q.next
        q = p.next if p is not None else None

        
    
        JavaScript
        
        class Node {
    constructor(value) {
        this.value = value;
        this.next = null;
    }
}

function rearrange(list) {
    if (list === null || list.next === null) {
        return;
    }
    let p = list;
    let q = list.next;
    while (q !== null) {
        [p.value, q.value] = [q.value, p.value];
        p = q.next;
        q = p !== null ? p.next : null;
    }
}","1,2,3,4,5,6,7","2,1,4,3,6,5,7","1,3,2,5,4,7,6","2,3,4,5,6,7,1",B,"The function rearrange() exchanges data of every node with its next node. It starts exchanging data from the first node itself.For eg. 3,5,7,9,11answer:- 5,3,9,7,11",Linked List,Hard,High,0.25
28,"Suppose each set is represented as a linked list with elements in arbitrary order. Which of the operations among union, intersection, membership, cardinality will be the slowest? (GATE CS 2004)",union&nbsp;,&nbsp;membership,cardinality,"&nbsp;union, intersection",D,"Cardinality and membership are definitely not the slowest one. For cardinality, just count the number of nodes in a list. For membership, just traverse the list and look for a matchFor getting intersection of L1 and L2, search for each element of L1 in L2 and print the elements we find in L2.&nbsp;There can be many ways for getting union of L1 and L2. One of them is as follows&nbsp;a) Print all the nodes of L1 and print only those which are not present in L2.&nbsp;b) Print nodes of L2.",Linked List,Medium,Medium,0.25
